trigram,repetation,polarity,sentiment
positive cases detected,3,0.22727272727272727,positive
new cases reported,3,0.13636363636363635,positive
results received new,3,0.13636363636363635,positive
received new cases,3,0.13636363636363635,positive
cases covid detected,3,0.0,neutral
covid detected nagaland,3,0.0,neutral
n n wearamask,3,0.0,neutral
n wearamask f,3,0.0,neutral
th sep summary,3,0.0,neutral
sep summary bengaluru,3,0.0,neutral
summary bengaluru covid,3,0.0,neutral
bengaluru covid per,3,0.0,neutral
covid per n,3,0.0,neutral
per n ntests,3,0.0,neutral
n ntests c,3,0.0,neutral
ntests c f,3,0.0,neutral
f f ndaily,3,0.0,neutral
f ndaily positive,3,0.22727272727272727,positive
ndaily positive c,3,0.22727272727272727,positive
positive c f,3,0.22727272727272727,positive
f f ndeaths,3,0.0,neutral
safe n n,3,0.5,positive
india logs new,3,0.13636363636363635,positive
covid third wave,3,0.0,neutral
india reports fresh,3,0.3,positive
reports fresh cases,3,0.3,positive
fresh cases deaths,3,0.3,positive
biharfightscorona nupdate day,3,0.0,neutral
nupdate day n,3,0.0,neutral
day n e,3,0.0,neutral
f f covid,3,0.0,neutral
f covid cases,3,0.0,neutral
cases reported far,3,0.1,positive
reported far th,3,0.1,positive
far th september,3,0.1,positive
administered crore covid,3,0.0,neutral
covid vaccination drive,2,0.0,neutral
f cabinet secretary,2,0.0,neutral
day wise discharged,2,0.7,positive
wise discharged cases,2,0.7,positive
discharged cases details,2,0.0,neutral
details n n,2,0.0,neutral
n total discharged,2,0.0,neutral
total discharged n,2,0.0,neutral
discharged n n,2,0.0,neutral
cabinet secretary chairs,2,0.0,neutral
secretary chairs high,2,0.16,positive
covid n n,2,0.0,neutral
new cases last,2,0.06818181818181818,positive
india sets new,2,0.13636363636363635,positive
new single day,2,0.032467532467532464,positive
india set new,2,0.13636363636363635,positive
covid vaccination record,2,0.0,neutral
india reported new,2,0.13636363636363635,positive
n covid assamcovidupdate,2,0.0,neutral
new cases n,2,0.13636363636363635,positive
cases n n,2,0.0,neutral
proud movement citizens,2,0.8,positive
movement citizens belagavi,2,0.0,neutral
citizens belagavi nthanks,2,0.0,neutral
indiablooms first portal,2,0.25,positive
first portal digital,2,0.125,positive
portal digital news,2,0.0,neutral
today n n,2,0.0,neutral
administers crore covid,2,0.0,neutral
setting new record,2,0.13636363636363635,positive
cabinet secretary rajiv,2,0.0,neutral
secretary rajiv gauba,2,0.0,neutral
response covid prog,2,0.0,neutral
last hours total,2,0.0,neutral
hours total cases,2,0.0,neutral
total cases rise,2,0.0,neutral
coronaupdatesinindia n september,2,0.0,neutral
n september mohfw,2,0.0,neutral
